"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Oprm1",0,1.02934396158214,1,0,0,"Oprm1"
"Ttc3",3.76569964134086e-121,1.0211691211987,0.992,0.83,1.05432058558262e-116,"Ttc3"
"Rtn1",4.65687690903376e-121,1.07667059505591,0.995,0.844,1.30383239699127e-116,"Rtn1"
"Rgs17",8.71588814019302e-121,0.970694300620105,0.865,0.491,2.44027436149124e-116,"Rgs17"
"Celf4",1.75249098388454e-116,0.944746180461232,0.963,0.66,4.90662425667994e-112,"Celf4"
"Gap43",8.95461377129856e-115,1.10419555747117,0.98,0.761,2.50711276368817e-110,"Gap43"
"Zwint",1.03437872264442e-113,1.07174716380869,0.986,0.832,2.89605354765984e-109,"Zwint"
"Calm2",1.77578355523669e-113,0.984141053948995,0.998,0.982,4.97183879795168e-109,"Calm2"
"Zcchc18",2.01365569913653e-112,0.910754100631195,0.989,0.75,5.63783322644245e-108,"Zcchc18"
"Meg3",2.9939118579059e-112,1.03802716336884,0.995,0.854,8.38235441976493e-108,"Meg3"
"Snhg11",4.75927690835826e-112,0.964697797800749,0.995,0.774,1.33250234880215e-107,"Snhg11"
"6330403K07Rik",5.91722245634929e-112,1.14411924102508,0.98,0.802,1.65670394332867e-107,"6330403K07Rik"
"Ly6h",3.00985043771124e-111,1.026718428659,0.985,0.794,8.42697925550392e-107,"Ly6h"
"Ahi1",4.48410498854653e-110,1.05111496979982,0.992,0.8,1.25545971469326e-105,"Ahi1"
"Tagln3",1.63046894720082e-108,0.944729775492449,0.935,0.646,4.56498695837286e-104,"Tagln3"
"Eif4a2",7.1871120901656e-108,0.960108763361957,0.991,0.911,2.01224764300456e-103,"Eif4a2"
"Atp6v1g2",1.10074408714459e-107,0.913858535182412,0.916,0.606,3.08186329518743e-103,"Atp6v1g2"
"Atp1b1",1.36743979735545e-106,0.894779520698618,0.988,0.789,3.8285579446358e-102,"Atp1b1"
"Caly",8.41253232852555e-106,0.961741006935308,0.96,0.739,2.35534080134058e-101,"Caly"
"Rab3a",8.41385320990639e-106,0.957545712469913,0.97,0.793,2.35571062170959e-101,"Rab3a"
"Nsg1",4.31481581211889e-104,0.890883239775107,0.953,0.708,1.20806213107705e-99,"Nsg1"
"Pnck",7.37586437126684e-104,0.880710230518546,0.89,0.557,2.06509450666729e-99,"Pnck"
"Pgrmc1",1.20308616984345e-103,0.913510345777854,0.992,0.819,3.36840065832768e-99,"Pgrmc1"
"Zcchc12",5.64959344079253e-103,0.929883072131561,0.948,0.661,1.58177317155309e-98,"Zcchc12"
"Mllt11",7.00267014261956e-103,0.960308652364889,0.939,0.67,1.96060758653062e-98,"Mllt11"
"Gpm6a",8.81375506738971e-103,0.836051579015942,0.982,0.778,2.46767514376777e-98,"Gpm6a"
"Snap25",9.93697298156793e-103,0.934147600557927,0.983,0.751,2.78215369537939e-98,"Snap25"
"Bex2",7.29934542559773e-102,0.945010886202049,0.992,0.869,2.04367073225885e-97,"Bex2"
"Gria2",1.01535822929009e-101,0.803291459351487,0.988,0.745,2.8427999703664e-97,"Gria2"
"Stmn3",3.56828733749534e-100,0.964156572044426,0.98,0.779,9.99049088751946e-96,"Stmn3"
"Tubb2a",1.57012664016656e-99,1.00152683879727,0.938,0.73,4.39604056713834e-95,"Tubb2a"
"Ywhah",2.93517133149492e-99,0.955114893500266,0.986,0.864,8.21789269391946e-95,"Ywhah"
"Calm1",3.49565341995287e-99,0.872244131884572,0.998,0.984,9.78713044518403e-95,"Calm1"
"Scn2a1",8.99941034781661e-99,0.729440847131363,0.895,0.545,2.5196549091817e-94,"Scn2a1"
"Vamp2",1.03270872724993e-98,0.872025015181485,0.956,0.762,2.89137789455437e-94,"Vamp2"
"Ube3a",2.52328585567885e-98,0.744383497579416,0.976,0.777,7.06469573872964e-94,"Ube3a"
"Chd3os",2.89226873249189e-98,0.873010744042158,0.919,0.593,8.0977739972308e-94,"Chd3os"
"Snca",6.79518075216706e-98,0.916848350216473,0.851,0.517,1.90251470699173e-93,"Snca"
"Hap1",2.86137204507617e-97,0.8100699168451,0.947,0.632,8.01126945180426e-93,"Hap1"
"Atp6v1d",4.0216951523904e-97,0.835095055024293,0.938,0.735,1.12599420876626e-92,"Atp6v1d"
"Snrpn",8.60641119664889e-97,0.960538464737069,0.988,0.878,2.40962300683776e-92,"Snrpn"
"Syt5",8.84315530894225e-97,0.807103352645856,0.839,0.484,2.47590662339765e-92,"Syt5"
"Camk2b",1.49027591558278e-96,0.723428057171517,0.936,0.601,4.17247450844868e-92,"Camk2b"
"Nsg2",2.32435768513137e-95,0.795058086040151,0.918,0.6,6.5077366468308e-91,"Nsg2"
"Pcsk1n",9.29913646621584e-95,1.00149151461099,0.992,0.946,2.60357222781111e-90,"Pcsk1n"
"Rab3c",1.52743968233405e-94,0.777942479801875,0.846,0.485,4.27652562259887e-90,"Rab3c"
"Map1b",2.76595289454951e-94,0.871161770141994,0.988,0.802,7.74411491415972e-90,"Map1b"
"Sh3bp1",1.20321085874231e-93,0.756664983939829,0.916,0.606,3.36874976230671e-89,"Sh3bp1"
"Nsf",1.81870733500356e-91,0.771839701452455,0.935,0.644,5.09201679654298e-87,"Nsf"
"Scg2",2.53960239887521e-91,0.899045573670709,0.947,0.681,7.11037879637081e-87,"Scg2"
"Serp2",4.76456014965709e-91,0.810237612875487,0.846,0.552,1.33398155070099e-86,"Serp2"
"Mdh1",5.89777000158925e-91,0.87784659878508,0.986,0.886,1.65125764504496e-86,"Mdh1"
"Nrsn2",1.13149803923849e-90,0.880957185520221,0.924,0.627,3.16796821025993e-86,"Nrsn2"
"Tmem158",1.42569998161017e-90,0.836271529207681,0.851,0.509,3.99167480851216e-86,"Tmem158"
"Ctxn1",1.5118850397457e-90,0.857555866397362,0.781,0.45,4.23297573428001e-86,"Ctxn1"
"Itm2c",1.7376269040914e-90,0.862536009512351,0.989,0.895,4.8650078060751e-86,"Itm2c"
"Ywhaz",1.92571550706818e-90,0.773137245691011,0.96,0.755,5.39161827668948e-86,"Ywhaz"
"Snap47",4.25536306018834e-90,0.819806201866289,0.927,0.677,1.19141654959153e-85,"Snap47"
"Cnih2",5.24122075444408e-90,0.738231264050465,0.848,0.514,1.46743698682925e-85,"Cnih2"
"Ngfrap1",6.41062521462083e-90,0.868753759120823,0.962,0.8,1.79484684758954e-85,"Ngfrap1"
"Cxx1a",1.00547266926235e-89,0.855868093359208,0.962,0.806,2.81512237940072e-85,"Cxx1a"
"Sncb",1.20248799208843e-89,0.871831812933108,0.935,0.634,3.36672588024919e-85,"Sncb"
"Ywhab",4.84035641486618e-89,0.81778093044016,0.951,0.78,1.35520298903423e-84,"Ywhab"
"Pkm",6.12966542753685e-89,0.808553202321657,0.97,0.876,1.71618372640177e-84,"Pkm"
"Prkacb",6.5332908925152e-89,0.749942390429313,0.935,0.71,1.82919078408641e-84,"Prkacb"
"Nap1l5",7.69539661096679e-89,1.0713440582093,0.997,0.934,2.15455714313848e-84,"Nap1l5"
"Atp6v1b2",1.57210652826094e-88,0.730093214573702,0.935,0.692,4.40158385782497e-84,"Atp6v1b2"
"Uchl1",2.00080459659978e-88,0.882469142495845,0.939,0.702,5.60185270956006e-84,"Uchl1"
"Nrsn1",2.13223862387106e-88,0.853271687115011,0.88,0.547,5.96984169911418e-84,"Nrsn1"
"Prkar1b",4.28721422083966e-88,0.762468201566467,0.875,0.561,1.20033423755069e-83,"Prkar1b"
"Hprt",6.07932465646916e-88,0.832944607428991,0.907,0.642,1.70208931731823e-83,"Hprt"
"Impact",2.11283386327642e-87,0.87318042586849,0.945,0.717,5.91551225040131e-83,"Impact"
"Matr3",2.44463355555324e-87,0.739478746766861,0.96,0.793,6.84448502883796e-83,"Matr3"
"Pcp4",2.59670417141641e-87,1.00011512096657,0.945,0.742,7.27025233913167e-83,"Pcp4"
"Sult4a1",2.61995724447412e-87,0.714029602744651,0.817,0.489,7.33535629307863e-83,"Sult4a1"
"Vsnl1",3.84959965834857e-87,0.884957491622816,0.927,0.647,1.07781091234443e-82,"Vsnl1"
"Napb",5.49095970466302e-87,0.727901417674152,0.791,0.471,1.53735889811155e-82,"Napb"
"Tspan7",7.25212904739344e-87,0.793195754492942,0.951,0.762,2.03045109068921e-82,"Tspan7"
"Necap1",1.10830746196032e-86,0.725950432124808,0.787,0.465,3.1030392319965e-82,"Necap1"
"Tmem91",1.88782630049042e-86,0.690165244422955,0.776,0.425,5.28553607611308e-82,"Tmem91"
"Tmem59l",3.21532434346231e-86,0.802103398272328,0.909,0.613,9.00226509682576e-82,"Tmem59l"
"Map2k1",3.58886039652488e-86,0.754941535207032,0.889,0.645,1.00480913381903e-81,"Map2k1"
"Pja2",7.60975482216566e-86,0.782165473056813,0.925,0.714,2.13057915510994e-81,"Pja2"
"Syt4",2.31810797105053e-85,0.780358136536481,0.932,0.606,6.49023869734728e-81,"Syt4"
"Aldoa",3.52582119229809e-85,0.80012921072507,0.989,0.955,9.8715941741962e-81,"Aldoa"
"Chn1",1.42163069076516e-84,0.709078129583929,0.852,0.523,3.98028160800429e-80,"Chn1"
"Pnmal2",1.4349433011898e-84,0.707836611940935,0.96,0.697,4.01755425467119e-80,"Pnmal2"
"Slc22a17",1.44929227493479e-84,0.646742061985514,0.985,0.841,4.05772851136243e-80,"Slc22a17"
"Scoc",1.65800602233929e-84,0.829484422179208,0.95,0.764,4.64208526134555e-80,"Scoc"
"Pfn2",3.78256558100555e-84,0.763123392825122,0.948,0.785,1.05904271136993e-79,"Pfn2"
"2210016L21Rik",1.59129908873621e-83,0.777429492638325,0.883,0.642,4.45531918864364e-79,"2210016L21Rik"
"Fam103a1",2.23212220262774e-83,0.719032620444767,0.855,0.587,6.24949574291714e-79,"Fam103a1"
"Ndrg4",5.52092367729847e-83,0.700167688383244,0.962,0.673,1.54574821117003e-78,"Ndrg4"
"Cbx5",6.18107399939883e-83,0.769279316004913,0.892,0.64,1.73057709835169e-78,"Cbx5"
"Stmn2",1.55350959756037e-82,0.989227522238971,0.88,0.611,4.34951617124951e-78,"Stmn2"
"Grin2b",2.67181322302174e-82,0.634352191238579,0.77,0.433,7.48054266181627e-78,"Grin2b"
"Gad2",2.95243375008388e-82,0.875049618490417,0.883,0.597,8.26622401348485e-78,"Gad2"
"Gabarapl1",3.69060601810952e-82,0.814691235575623,0.932,0.721,1.0332958729503e-77,"Gabarapl1"
"Tmem179",3.96618403828454e-82,0.643165338892692,0.772,0.445,1.11045220703891e-77,"Tmem179"
"Zranb2",4.40993912896394e-82,0.704818379015604,0.932,0.718,1.23469475732732e-77,"Zranb2"
"Ppp3r1",5.48771318233004e-82,0.657131056638483,0.918,0.628,1.53644993678877e-77,"Ppp3r1"
"Gaa",7.41451980655169e-82,0.731400961752485,0.957,0.718,2.07591725543834e-77,"Gaa"
"2900011O08Rik",2.23161949939688e-81,0.727767366397357,0.802,0.479,6.24808827441137e-77,"2900011O08Rik"
"Maged1",2.2695158594148e-81,0.726300468508696,0.968,0.813,6.35419050318954e-77,"Maged1"
"Bex1",3.62035826818041e-81,0.818536276618482,0.893,0.635,1.01362790792515e-76,"Bex1"
"G3bp2",3.78286565965525e-81,0.712187977118603,0.924,0.705,1.05912672739028e-76,"G3bp2"
"Syn2",3.92837683055603e-81,0.76593956001702,0.903,0.622,1.09986694501908e-76,"Syn2"
"1500011B03Rik",4.7115644989308e-81,0.739542364757822,0.868,0.606,1.31914382841065e-76,"1500011B03Rik"
"Tro",6.49884963044545e-81,0.643397528939474,0.851,0.525,1.81954791953212e-76,"Tro"
"Tubb3",7.56586463609704e-81,0.829578334145668,0.915,0.663,2.11829078081445e-76,"Tubb3"
"Rpl22l1",9.18951825709532e-81,0.947693589187915,0.976,0.885,2.57288132162155e-76,"Rpl22l1"
"Atpif1",1.97302550566392e-80,0.898638306858974,0.948,0.85,5.52407681075785e-76,"Atpif1"
"Cd200",1.99880772866815e-80,0.810331109281178,0.883,0.608,5.59626187872508e-76,"Cd200"
"Tpi1",2.61609048742564e-80,0.798296800113253,0.903,0.69,7.3245301466943e-76,"Tpi1"
"Sub1",4.40104615791701e-80,0.781227222358476,0.971,0.87,1.23220490329361e-75,"Sub1"
"Tmem191c",6.78987856403533e-80,0.590369126039374,0.776,0.444,1.90103020035861e-75,"Tmem191c"
"Nme1",7.31354814933531e-80,0.827712963326138,0.912,0.758,2.0476472108509e-75,"Nme1"
"Tuba1b",7.78319244944276e-80,0.929828653056999,0.957,0.851,2.17913822199499e-75,"Tuba1b"
"Ppp3ca",9.22342521188416e-80,0.817484456962997,0.945,0.77,2.58237459082333e-75,"Ppp3ca"
"Syngr3",1.2227613814257e-79,0.703303435597018,0.805,0.494,3.42348731571566e-75,"Syngr3"
"Dnm1l",1.36509116962026e-79,0.705170511620794,0.834,0.545,3.8219822567028e-75,"Dnm1l"
"Dynll2",1.40970390124331e-79,0.74306354438121,0.962,0.81,3.94688898270102e-75,"Dynll2"
"Syt1",1.8436584678865e-79,0.846544189706024,0.925,0.654,5.16187497838863e-75,"Syt1"
"Dynlrb1",2.68387329150011e-79,0.781046484994384,0.947,0.842,7.51430844154201e-75,"Dynlrb1"
"Soga3",4.20161511564465e-79,0.686141505427957,0.837,0.562,1.17636820007819e-74,"Soga3"
"Scg5",8.51992995846555e-79,0.736974270217581,0.947,0.764,2.38540998977118e-74,"Scg5"
"Stxbp1",9.12647670829712e-79,0.649302530098505,0.901,0.596,2.55523094878903e-74,"Stxbp1"
"Morf4l1",9.47901837059198e-79,0.809426468330498,0.988,0.967,2.65393556339834e-74,"Morf4l1"
"Serinc1",2.93040785715404e-78,0.650038862573413,0.991,0.93,8.20455591845987e-74,"Serinc1"
"Chchd10",3.04120103051323e-78,0.869944511324684,0.91,0.685,8.51475464523094e-74,"Chchd10"
"Slc25a3",4.6358887620799e-78,0.737617798813525,0.954,0.846,1.29795613560713e-73,"Slc25a3"
"Araf",7.34797449862698e-78,0.785593956314001,0.912,0.689,2.05728590012558e-73,"Araf"
"Gprasp2",7.85751246538077e-78,0.808110840691286,0.886,0.613,2.19994634005731e-73,"Gprasp2"
"Map2",9.08185979609291e-78,0.636180381559096,0.933,0.66,2.54273910571009e-73,"Map2"
"Lsamp",1.16788700461688e-77,0.713230270374891,0.921,0.666,3.26985003552635e-73,"Lsamp"
"Gapdh",1.4551755099763e-77,0.721304288601726,0.991,0.941,4.07420039283165e-73,"Gapdh"
"Ndufa4",1.57844582424734e-77,0.807449728257907,0.982,0.93,4.41933261872769e-73,"Ndufa4"
"Tusc3",2.03359903677916e-77,0.702255818662321,0.849,0.568,5.69367058317429e-73,"Tusc3"
"Gprasp1",4.43478420878174e-77,0.733306299068456,0.921,0.669,1.24165088277471e-72,"Gprasp1"
"Dynll1",5.76280644035461e-77,0.796816775105291,0.973,0.896,1.61347054717048e-72,"Dynll1"
"Tmx4",8.95325530602792e-77,0.761736721226675,0.909,0.653,2.5067324205817e-72,"Tmx4"
"Got1",1.13033030297941e-76,0.731001337435707,0.868,0.587,3.16469878228177e-72,"Got1"
"Tmem130",1.40228140913271e-76,0.742241701404005,0.88,0.574,3.92610748928976e-72,"Tmem130"
"Tmsb10",1.49488490527369e-76,1.00954856207598,0.945,0.787,4.18537875778527e-72,"Tmsb10"
"Flywch1",2.18064149529035e-76,0.724343936177339,0.834,0.546,6.10536005851391e-72,"Flywch1"
"Dnaja1",2.34733236857563e-76,0.762733980819906,0.956,0.848,6.57206116553804e-72,"Dnaja1"
"Gabbr1",2.81879043402653e-76,0.672944710353394,0.939,0.76,7.89204945718748e-72,"Gabbr1"
"Klc1",3.24000813753309e-76,0.686847536767406,0.903,0.654,9.07137478346515e-72,"Klc1"
"Gm1673",3.69387690090251e-76,0.819422763222739,0.884,0.636,1.03421165471468e-71,"Gm1673"
"Cadm1",4.7555115533332e-76,0.733222233047654,0.945,0.756,1.33144812470223e-71,"Cadm1"
"Ssbp4",5.41438624168313e-76,0.577319125061566,0.781,0.461,1.51591985994644e-71,"Ssbp4"
"Tubb5",5.54740195617716e-76,0.810021382902105,0.928,0.768,1.55316159969048e-71,"Tubb5"
"Ckmt1",5.97394518969385e-76,0.658982858989754,0.755,0.437,1.67258517421048e-71,"Ckmt1"
"Atp6v1a",6.19333837071563e-76,0.695554380045614,0.925,0.712,1.73401087703296e-71,"Atp6v1a"
"Morf4l2",1.1883780799393e-75,0.763146133384653,0.933,0.781,3.32722094821406e-71,"Morf4l2"
"Vdac3",1.25195030751516e-75,0.789332101737261,0.906,0.723,3.50521047098095e-71,"Vdac3"
"Rrp1",1.43948981664126e-75,0.710155512419539,0.922,0.741,4.0302835886322e-71,"Rrp1"
"Mycbp2",1.72875195647401e-75,0.614322552950934,0.924,0.712,4.84015972773593e-71,"Mycbp2"
"Psip1",2.23256264948304e-75,0.741379878591456,0.928,0.792,6.25072890602263e-71,"Psip1"
"Arl6ip1",2.38113569891384e-75,0.757140275501732,0.97,0.92,6.66670372981897e-71,"Arl6ip1"
"Stub1",2.39579575439061e-75,0.711359095478167,0.898,0.681,6.70774895314283e-71,"Stub1"
"Sms",2.81271100617625e-75,0.649445581693043,0.747,0.43,7.87502827509228e-71,"Sms"
"Wbp5",3.01018352369188e-75,0.722030358032511,0.939,0.771,8.42791182963254e-71,"Wbp5"
"Fxyd6",3.21858612025627e-75,0.875224953290238,0.869,0.603,9.01139741949351e-71,"Fxyd6"
"Kifap3",4.28674155085876e-75,0.74806864666005,0.857,0.615,1.20020189940944e-70,"Kifap3"
"Dpp6",4.66906322926929e-75,0.651547582874505,0.808,0.494,1.30724432293082e-70,"Dpp6"
"Gdi1",4.9331585272286e-75,0.659104871345921,0.953,0.816,1.38118572445346e-70,"Gdi1"
"Ddx24",5.03881957512799e-75,0.758036615050604,0.901,0.715,1.41076870464433e-70,"Ddx24"
"Rbfox2",9.2769475689286e-75,0.573862854217283,0.799,0.472,2.59735978034863e-70,"Rbfox2"
"RP23-407N2.2",9.71338336061947e-75,0.655504326645546,0.869,0.573,2.71955307330624e-70,"RP23-407N2.2"
"Hsp90ab1",1.01372366682826e-74,0.719412539217685,0.995,0.976,2.83822352238576e-70,"Hsp90ab1"
"Tceal3",1.46965015148791e-74,0.72216932694423,0.833,0.575,4.11472649413584e-70,"Tceal3"
"Pak3",1.47407997240896e-74,0.710495021462497,0.858,0.561,4.12712910675062e-70,"Pak3"
"Abhd8",1.50014865781835e-74,0.610182673862445,0.778,0.458,4.20011621215981e-70,"Abhd8"
"Pld3",1.6534526095449e-74,0.654654941246644,0.863,0.577,4.62933661620382e-70,"Pld3"
"Atxn10",4.00885854596733e-74,0.678552578122251,0.913,0.715,1.12240021569993e-69,"Atxn10"
"Tma7",6.40431453710957e-74,0.687863193446417,0.951,0.813,1.79307998409994e-69,"Tma7"
"Tceal6",7.1979385879694e-74,0.646121622801257,0.764,0.444,2.01527884585967e-69,"Tceal6"
"Ralyl",7.62091229162991e-74,0.751408791756083,0.734,0.428,2.13370302341054e-69,"Ralyl"
"Pja1",9.20979744942284e-74,0.656900235893631,0.881,0.641,2.57855908988941e-69,"Pja1"
"Kif5c",1.24093779386055e-73,0.675035415376066,0.816,0.516,3.47437763525077e-69,"Kif5c"
"Nat14",1.63777706212095e-73,0.598626382588482,0.662,0.357,4.58544821852624e-69,"Nat14"
"Gng3",1.81965189310462e-73,0.797955792634097,0.849,0.601,5.09466137031432e-69,"Gng3"
"Pgam1",2.19195130711545e-73,0.708823377573278,0.942,0.785,6.13702526966183e-69,"Pgam1"
"Tcaf1",2.27912607009556e-73,0.634058110388706,0.872,0.581,6.38109717105354e-69,"Tcaf1"
"Ube2b",2.32401147022712e-73,0.688528903535378,0.912,0.738,6.50676731434189e-69,"Ube2b"
"Atp6v1c1",2.56260121995082e-73,0.704214144191251,0.857,0.633,7.17477089561831e-69,"Atp6v1c1"
"Usp14",2.96019601613611e-73,0.692234360532727,0.842,0.561,8.28795680597789e-69,"Usp14"
"Dzip3",3.52797808359621e-73,0.637969581602921,0.836,0.543,9.87763303845267e-69,"Dzip3"
"Prkar1a",3.87056201411431e-73,0.712383232362531,0.951,0.85,1.08367995271173e-68,"Prkar1a"
"Nop10",5.50201048689997e-73,0.742747245879369,0.89,0.688,1.54045289612225e-68,"Nop10"
"Rwdd2a",6.58519674801916e-73,0.62117819849048,0.671,0.354,1.84372338551041e-68,"Rwdd2a"
"Vdac1",7.36067115252948e-73,0.704740438683342,0.913,0.701,2.0608407092852e-68,"Vdac1"
"Atp6v1e1",7.86718719998363e-73,0.758949232020837,0.918,0.795,2.20265507225142e-68,"Atp6v1e1"
"Map7d2",1.10786838380482e-72,0.725572703152384,0.858,0.605,3.10180990097673e-68,"Map7d2"
"Nap1l1",1.18052439268465e-72,0.664288307076015,0.874,0.638,3.30523219463849e-68,"Nap1l1"
"Dnajb6",1.52605523704681e-72,0.745041441075255,0.906,0.76,4.27264945268366e-68,"Dnajb6"
"A730017C20Rik",3.00241595551307e-72,0.79051176016577,0.784,0.495,8.40616419224548e-68,"A730017C20Rik"
"Tspan13",3.08113505166026e-72,0.714462607325091,0.88,0.608,8.6265619176384e-68,"Tspan13"
"Arf1",3.75434163876178e-72,0.627231637320412,0.962,0.837,1.05114057202052e-67,"Arf1"
"Cbarp",3.80402326241486e-72,0.662404642921935,0.883,0.587,1.06505043301091e-67,"Cbarp"
"Pebp1",3.95067190380847e-72,0.771131760861217,0.959,0.867,1.1061091196283e-67,"Pebp1"
"Tuba4a",7.2714509512699e-72,0.638643952197062,0.804,0.493,2.03586083733655e-67,"Tuba4a"
"Fabp3",1.3974856657681e-71,0.606317687300409,0.679,0.369,3.91268036701753e-67,"Fabp3"
"Gsk3b",1.39866327180868e-71,0.67416024154509,0.912,0.732,3.91597742840993e-67,"Gsk3b"
"Faim2",1.71571187139054e-71,0.72066881247257,0.951,0.779,4.80365009751922e-67,"Faim2"
"Ldha",1.80404407889764e-71,0.710440582489474,0.842,0.58,5.05096261209762e-67,"Ldha"
"Usmg5",3.25414730677819e-71,0.794966946722738,0.945,0.844,9.11096162951759e-67,"Usmg5"
"Ndufa5",3.26204684102367e-71,0.768880940122981,0.932,0.817,9.13307874549808e-67,"Ndufa5"
"Trappc6b",3.57587093807167e-71,0.677244162426421,0.83,0.58,1.00117234524131e-66,"Trappc6b"
"Ppp1r9a",4.8221193082128e-71,0.643873727238423,0.81,0.522,1.35009696391342e-66,"Ppp1r9a"
"Gabrb3",6.32118775410291e-71,0.55365237564537,0.711,0.401,1.76980614739373e-66,"Gabrb3"
"Elmod1",6.79724352493288e-71,0.635734293864403,0.76,0.447,1.90309224211071e-66,"Elmod1"
"Rtf1",8.79102471626562e-71,0.629907395895448,0.857,0.619,2.46131110006005e-66,"Rtf1"
"Tcf25",9.28198640412398e-71,0.723477567784257,0.942,0.808,2.59877055342663e-66,"Tcf25"
"Cmas",1.08865447956652e-70,0.675783299098586,0.741,0.449,3.04801481189035e-66,"Cmas"
"Atl1",1.18963531190626e-70,0.590789678778205,0.775,0.486,3.33074094627514e-66,"Atl1"
"Rogdi",1.37254746507071e-70,0.633898603931512,0.826,0.548,3.84285839270498e-66,"Rogdi"
"Chgb",1.65626902645063e-70,0.794980008662739,0.808,0.505,4.63722202025646e-66,"Chgb"
"Fyttd1",1.6671878463581e-70,0.654654539869595,0.778,0.523,4.66779253223342e-66,"Fyttd1"
"Capza2",2.36122741822837e-70,0.67311538841052,0.909,0.773,6.61096452555578e-66,"Capza2"
"Cxx1b",3.96344753949955e-70,0.679462350090808,0.874,0.664,1.10968604210908e-65,"Cxx1b"
"Atp6v0e2",8.06764286342988e-70,0.635056069453706,0.906,0.699,2.2587786489031e-65,"Atp6v0e2"
"Rasgef1a",8.50871081518513e-70,0.536246765937988,0.676,0.368,2.38226885403553e-65,"Rasgef1a"
"Nefl",8.96245463051232e-70,0.676906817079666,0.714,0.399,2.50930804745084e-65,"Nefl"
"Zdbf2",1.04739524796762e-69,0.641354821154263,0.779,0.45,2.93249721525974e-65,"Zdbf2"
"Ap1s1",1.51388443114453e-69,0.688445116263304,0.828,0.555,4.23857363031845e-65,"Ap1s1"
"Sumo3",1.54132984109629e-69,0.653434738024323,0.813,0.575,4.31541528910138e-65,"Sumo3"
"Mdh2",1.64020636194953e-69,0.735989124975582,0.916,0.803,4.59224977218628e-65,"Mdh2"
"Peg3",4.06122783753106e-69,0.786225294641225,0.925,0.7,1.13706256995195e-64,"Peg3"
"Mtch1",4.15082483947779e-69,0.709465510519767,0.887,0.677,1.16214793855699e-64,"Mtch1"
"Hp1bp3",5.36731448087245e-69,0.632852056622536,0.892,0.696,1.50274070835467e-64,"Hp1bp3"
"Rab1a",6.69961319327239e-69,0.600115940535197,0.865,0.617,1.8757577018524e-64,"Rab1a"
"Gabrb1",9.28641368989227e-69,0.660096554040697,0.81,0.52,2.60001010489604e-64,"Gabrb1"
"Rnf187",1.2868534862973e-68,0.665191168033666,0.904,0.727,3.60293239093519e-64,"Rnf187"
"Trim32",1.31335839868527e-68,0.584956887599694,0.814,0.524,3.67714084463902e-64,"Trim32"
"Hdgfrp3",1.34033813193645e-68,0.615124321535871,0.839,0.583,3.75267870179568e-64,"Hdgfrp3"
"Atp6v1f",1.57206569503903e-68,0.714087476967652,0.935,0.804,4.40146953297028e-64,"Atp6v1f"
"Pfdn2",1.63425622416626e-68,0.695967407926334,0.941,0.826,4.5755905764207e-64,"Pfdn2"
"Gria1",2.14982982300147e-68,0.604859322402586,0.791,0.477,6.01909353843951e-64,"Gria1"
"Ccl27a",2.51213416931728e-68,0.627913488410519,0.746,0.456,7.03347324725453e-64,"Ccl27a"
"Gabrg2",3.13498138423079e-68,0.673645284659648,0.746,0.452,8.77732087956936e-64,"Gabrg2"
"Tspyl4",3.15879453810906e-68,0.687712064185022,0.901,0.67,8.84399294779774e-64,"Tspyl4"
"Negr1",4.77558800593612e-68,0.612682024303959,0.793,0.497,1.337069129902e-63,"Negr1"
"Hpcal1",5.46218097624061e-68,0.964024247525795,0.647,0.353,1.52930142972785e-63,"Hpcal1"
"Oaz1",5.4792836654921e-68,0.672935444585122,0.985,0.963,1.53408984066448e-63,"Oaz1"
"Pacsin1",8.48243572809029e-68,0.588966909072931,0.766,0.451,2.37491235515072e-63,"Pacsin1"
"Ywhag",1.00274683998533e-67,0.637966817688118,0.903,0.65,2.80749060259092e-63,"Ywhag"
"Rcn2",1.10171000604263e-67,0.639282314589844,0.896,0.651,3.08456767491815e-63,"Rcn2"
"Coa3",1.36112259573377e-67,0.715756201131233,0.848,0.653,3.81087104353542e-63,"Coa3"
"Nap1l3",1.7855643855622e-67,0.650391711095412,0.776,0.489,4.99922316669704e-63,"Nap1l3"
"Habp4",2.0895122225639e-67,0.623224305647705,0.763,0.457,5.85021632073441e-63,"Habp4"
"Nrxn3",2.15542863212447e-67,0.658538166976724,0.883,0.592,6.0347690842221e-63,"Nrxn3"
"Thra",3.24777902442753e-67,0.631723488756139,0.938,0.783,9.09313171259221e-63,"Thra"
"Fkbp3",3.55206330691518e-67,0.787282080606615,0.901,0.734,9.94506684670113e-63,"Fkbp3"
"Sgip1",3.97201923062796e-67,0.564606607261918,0.758,0.461,1.11208594419121e-62,"Sgip1"
"Rab6a",6.65853598820729e-67,0.692909813958679,0.935,0.816,1.86425690597828e-62,"Rab6a"
"C1d",8.36571981944704e-67,0.69728253246261,0.865,0.647,2.34223423504878e-62,"C1d"
"Ube2v2",9.06962964967282e-67,0.682540310656795,0.869,0.646,2.5393149093154e-62,"Ube2v2"
"Smarca2",9.3627046247247e-67,0.645759918946357,0.846,0.618,2.62137004083042e-62,"Smarca2"
"Rab6b",1.05068611265398e-66,0.60697036230017,0.836,0.565,2.94171097820861e-62,"Rab6b"
